Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
870	-5101.33	-5125.05	23.7144	0.191516	0.202598	0.0176553	0.143721	0.31417	0.130339	0.32242	0.189671	0.191425	0.296484	0.0114069	0.160267
880	-5101.38	-5125.16	23.7729	0.166076	0.230929	0.0218329	0.179744	0.295092	0.106326	0.308956	0.199326	0.20017	0.291549	0.00462054	0.154419
890	-5103.24	-5127.11	23.8779	0.170416	0.187614	0.0421497	0.208743	0.2532	0.137877	0.309723	0.200371	0.19711	0.292796	0.00588423	0.14392
900	-5104.35	-5128.29	23.9445	0.140826	0.215471	0.0457321	0.140493	0.299128	0.158349	0.322417	0.200052	0.190432	0.287098	0.000232858	0.137257
910	-5103.08	-5126.8	23.7213	0.166122	0.211152	0.0266516	0.226704	0.24002	0.129351	0.305369	0.202475	0.198476	0.29368	0.0029748	0.159581
920	-5100.83	-5124.8	23.9717	0.148543	0.210262	0.0236784	0.22187	0.285735	0.109912	0.305541	0.209121	0.198587	0.286751	0.00401918	0.134541
930	-5097.75	-5121.5	23.753	0.161455	0.231282	0.0247095	0.174478	0.286722	0.121355	0.296529	0.202953	0.201391	0.299127	0.00656492	0.156412
940	-5103.19	-5127.14	23.9485	0.174232	0.186203	0.0184563	0.189059	0.266721	0.165329	0.293949	0.200427	0.216925	0.288699	0.00977848	0.136858
950	-5102.13	-5126.07	23.937	0.108743	0.237753	0.0425175	0.129891	0.332447	0.148649	0.323259	0.200141	0.186583	0.290018	0.00530477	0.138014
960	-5103.49	-5127.33	23.8375	0.205131	0.223715	0.0400071	0.177986	0.242687	0.110474	0.301263	0.200866	0.206803	0.291069	0.0358422	0.147958
970	-5099.82	-5123.63	23.8111	0.156802	0.228576	0.0369424	0.21161	0.212162	0.153908	0.292661	0.203137	0.210672	0.29353	0.000818425	0.150604
980	-5096.11	-5119.97	23.8577	0.173119	0.196158	0.0407868	0.176252	0.306357	0.107327	0.30679	0.201431	0.188595	0.303184	0.00414738	0.145943
990	-5101.82	-5125.59	23.769	0.167153	0.216476	0.039993	0.177315	0.247461	0.151602	0.307357	0.193716	0.201641	0.297285	0.00761647	0.15481
1000	-5102.08	-5125.81	23.7255	0.184752	0.234976	0.0470607	0.16469	0.242127	0.126395	0.30795	0.199784	0.198733	0.293533	0.0161918	0.15916
1010	-5105.39	-5129.13	23.7307	0.150423	0.238144	0.0275352	0.17785	0.248744	0.157305	0.302798	0.212628	0.191313	0.293261	0.00733178	0.158643
1020	-5097.45	-5121.18	23.7283	0.147889	0.234026	0.0142457	0.179523	0.297789	0.126528	0.297308	0.20643	0.20664	0.289622	0.0159321	0.158882
1030	-5096.83	-5120.61	23.7748	0.150802	0.253228	0.0198787	0.169272	0.287645	0.119174	0.308815	0.203081	0.203243	0.284861	0.00635441	0.154226
1040	-5093.14	-5116.82	23.6867	0.212809	0.229858	0.0216366	0.162	0.258882	0.114815	0.304442	0.200591	0.20757	0.287397	0.00580877	0.163042
1050	-5100.86	-5124.72	23.857	0.183674	0.252786	0.0303925	0.152864	0.246715	0.133568	0.322137	0.199498	0.192432	0.285933	0.00580877	0.146011
1060	-5099.44	-5123.16	23.7208	0.166748	0.229491	0.0275916	0.157185	0.280653	0.138332	0.318378	0.20343	0.187261	0.290931	0.00349496	0.159631
1070	-5099.77	-5123.57	23.7951	0.16966	0.198066	0.0335957	0.181593	0.264414	0.152673	0.311306	0.184979	0.207571	0.296145	0.00209686	0.152204
1080	-5104.13	-5127.82	23.694	0.167214	0.198982	0.0279471	0.141045	0.29467	0.170143	0.314049	0.22094	0.186084	0.278926	0.00599747	0.16231
1090	-5106.07	-5129.81	23.7417	0.193046	0.20964	0.0311993	0.177023	0.221196	0.167896	0.307949	0.202182	0.197884	0.291985	0.00988469	0.157539
1100	-5094.44	-5118.22	23.7847	0.145099	0.202394	0.0299695	0.193881	0.281457	0.147199	0.310317	0.194236	0.202337	0.29311	0.000856093	0.153241
1110	-5106.19	-5129.99	23.7976	0.150675	0.168313	0.0341022	0.201332	0.292723	0.152856	0.295427	0.215662	0.20459	0.28432	0.00160468	0.151952
1120	-5106.85	-5130.65	23.7973	0.130198	0.23662	0.0308051	0.228207	0.2775	0.0966705	0.314592	0.21427	0.185259	0.285879	0.0209017	0.151978
1130	-5102.69	-5126.65	23.9593	0.152245	0.210696	0.0346455	0.145606	0.252068	0.20474	0.312535	0.208997	0.187467	0.291001	0.0152107	0.135776
1140	-5097.87	-5121.65	23.788	0.149251	0.189817	0.0208599	0.255843	0.228139	0.15609	0.300057	0.192098	0.20852	0.299325	0.0044166	0.152909
1150	-5094.71	-5118.59	23.8807	0.117474	0.248521	0.0417733	0.191762	0.269568	0.130902	0.310972	0.208897	0.198191	0.281939	0.00617363	0.143643
1160	-5101.7	-5125.51	23.814	0.179203	0.224445	0.0377266	0.135151	0.295615	0.12786	0.297222	0.203852	0.219149	0.279777	0.00524235	0.15031
1170	-5104.24	-5127.92	23.6755	0.189731	0.222821	0.0329469	0.160768	0.278916	0.114818	0.324646	0.20213	0.200896	0.272328	0.0136103	0.164161
1180	-5105.3	-5129	23.703	0.171135	0.223164	0.036504	0.170823	0.292377	0.105997	0.307682	0.201483	0.193758	0.297077	0.00435303	0.16141
1190	-5099.82	-5123.58	23.7515	0.177864	0.227486	0.037211	0.150771	0.276375	0.130292	0.308613	0.195469	0.200738	0.295179	0.000890844	0.156558
1200	-5109.66	-5133.39	23.7291	0.153201	0.209234	0.013253	0.221091	0.278069	0.125152	0.298843	0.211348	0.196176	0.293633	0.0249333	0.158802
1210	-5104.83	-5128.63	23.8013	0.164605	0.177634	0.0215562	0.278212	0.241419	0.116573	0.30817	0.202484	0.184263	0.305083	0.00789875	0.151575
1220	-5107.6	-5131.54	23.9398	0.164863	0.235026	0.0233547	0.237612	0.212845	0.126299	0.301883	0.204623	0.180503	0.312991	0.00106748	0.137732
1230	-5097.64	-5121.36	23.7158	0.157452	0.188814	0.0206912	0.244291	0.281754	0.106998	0.303603	0.205957	0.199419	0.291021	0.0113239	0.160126
1240	-5103.81	-5127.66	23.8585	0.111321	0.231971	0.0253924	0.211378	0.296183	0.123754	0.315306	0.191561	0.206833	0.2863	0.00143734	0.145859
1250	-5098.6	-5122.48	23.8758	0.171676	0.209975	0.0379923	0.200261	0.273705	0.106391	0.311716	0.195959	0.210321	0.282005	0.0139211	0.144133
1260	-5099	-5122.79	23.7882	0.136248	0.229899	0.0313569	0.190173	0.296043	0.116281	0.316987	0.194456	0.213346	0.275211	0.0015621	0.152885
1270	-5096.03	-5119.96	23.9306	0.173677	0.201337	0.0385945	0.182465	0.259263	0.144664	0.306274	0.199423	0.194033	0.30027	0.0137749	0.138647
1280	-5097.67	-5121.54	23.8756	0.16802	0.180701	0.0365243	0.172678	0.284848	0.157229	0.320155	0.187915	0.190972	0.300959	0.0137749	0.144151
1290	-5100.14	-5123.99	23.8505	0.175757	0.202822	0.0302734	0.185358	0.252716	0.153073	0.307572	0.2076	0.208538	0.27629	0.0149754	0.146656
1300	-5098.36	-5122.18	23.8188	0.17447	0.237153	0.0237559	0.153779	0.282521	0.128321	0.321809	0.194779	0.18971	0.293703	0.0176339	0.149832
1310	-5095.01	-5118.82	23.8119	0.18335	0.193745	0.0235763	0.191592	0.280386	0.127351	0.301451	0.211558	0.204538	0.282453	0.00490332	0.150522
1320	-5104.65	-5128.43	23.7805	0.181621	0.243914	0.0398827	0.187861	0.235989	0.110732	0.312402	0.199107	0.20889	0.279601	0.00733355	0.153662
1330	-5103.63	-5127.48	23.8538	0.187754	0.187782	0.0399564	0.188208	0.285363	0.110936	0.317008	0.212352	0.190625	0.280015	0.00112196	0.146332
1340	-5103.8	-5127.51	23.7079	0.168827	0.186732	0.0431497	0.209031	0.276085	0.116175	0.30458	0.181776	0.213553	0.300092	0.000956907	0.160916
1350	-5105.23	-5128.85	23.6172	0.160193	0.210956	0.032416	0.202701	0.277123	0.116612	0.31931	0.202249	0.19601	0.282431	0.00173905	0.169986
1360	-5098.43	-5122.24	23.812	0.149329	0.19665	0.0302178	0.180099	0.25833	0.185374	0.315274	0.212886	0.199623	0.272217	0.000196527	0.150508
1370	-5103.12	-5126.83	23.7125	0.153301	0.20629	0.0425955	0.181638	0.270993	0.145182	0.322104	0.18675	0.197092	0.294053	0.00209308	0.160457
1380	-5098.17	-5122.07	23.8979	0.207321	0.226166	0.0296497	0.135956	0.256299	0.144609	0.319011	0.207986	0.189101	0.283901	0.0100396	0.141921
1390	-5101.81	-5125.69	23.8839	0.170544	0.225542	0.0313491	0.18384	0.255592	0.133132	0.324035	0.203623	0.192079	0.280264	0.00871776	0.143323
1400	-5098.2	-5121.94	23.7358	0.168946	0.24017	0.0333823	0.143567	0.272168	0.141767	0.301825	0.20514	0.211779	0.281256	0.00623153	0.158127
1410	-5095.86	-5119.61	23.7588	0.158488	0.204199	0.0301351	0.21177	0.262417	0.132991	0.309383	0.210088	0.187317	0.293212	0.00516886	0.155833
1420	-5097.06	-5121.02	23.963	0.153972	0.207583	0.0300367	0.211079	0.270032	0.127297	0.30798	0.215272	0.190433	0.286315	0.00644616	0.135406
1430	-5100.13	-5123.97	23.8389	0.181251	0.208768	0.0319601	0.152676	0.293102	0.132243	0.306196	0.19724	0.19912	0.297445	0.00569524	0.147817
1440	-5100.28	-5124.04	23.7613	0.17234	0.18081	0.0188658	0.183742	0.291567	0.152675	0.314111	0.19483	0.200046	0.291012	0.00569524	0.155577
1450	-5090.05	-5113.81	23.756	0.162093	0.191062	0.0193302	0.224509	0.26387	0.139136	0.306528	0.197406	0.199975	0.296091	0.00569524	0.156107
1460	-5106.33	-5130.26	23.9316	0.141915	0.244833	0.0196939	0.235115	0.216688	0.141754	0.298098	0.220442	0.179181	0.30228	0.00137791	0.138552
1470	-5094.45	-5118.28	23.8246	0.17037	0.182341	0.0287604	0.182921	0.281729	0.153878	0.302565	0.197068	0.207541	0.292826	0.00175108	0.149248
1480	-5103.38	-5127.14	23.7617	0.158647	0.251107	0.0442482	0.157123	0.217143	0.171731	0.321179	0.205118	0.202384	0.271318	0.0115992	0.155541
1490	-5093.25	-5116.99	23.7349	0.170564	0.215497	0.0203569	0.190858	0.255748	0.146976	0.308915	0.204919	0.202187	0.283979	0.00301035	0.158221
1500	-5098.36	-5122.24	23.8803	0.193462	0.19131	0.031027	0.193715	0.263469	0.127016	0.322178	0.203554	0.191117	0.283152	0.0012277	0.14368
1510	-5097.36	-5121.25	23.8944	0.158758	0.185438	0.0199828	0.213511	0.262575	0.159735	0.320656	0.194039	0.211811	0.273494	0.000210052	0.142269
1520	-5094.39	-5118.22	23.8307	0.147061	0.214767	0.0183985	0.189369	0.283334	0.14707	0.307002	0.201137	0.204998	0.286863	0.00303791	0.148637
1530	-5087.64	-5111.53	23.8856	0.143279	0.202073	0.0393814	0.171523	0.296958	0.146786	0.313355	0.201931	0.209348	0.275366	0.00164595	0.143148
1540	-5092.74	-5116.38	23.6435	0.164992	0.19023	0.0262609	0.167754	0.309942	0.140822	0.309	0.200184	0.204323	0.286493	0.00344813	0.16736
1550	-5099.74	-5123.62	23.8739	0.168691	0.194495	0.0171189	0.171515	0.316567	0.131614	0.3026	0.202658	0.194108	0.300634	0.00413053	0.144323
1560	-5090.19	-5113.99	23.799	0.185819	0.188808	0.0174955	0.199851	0.266365	0.141661	0.303487	0.192236	0.209037	0.29524	0.000365207	0.15181
1570	-5101.72	-5125.48	23.755	0.173624	0.203792	0.0147249	0.199837	0.288793	0.119228	0.328445	0.194285	0.188499	0.288772	0.00758239	0.156213
1580	-5088.81	-5112.73	23.9192	0.208631	0.201523	0.0247035	0.163671	0.258206	0.143266	0.318773	0.199975	0.194942	0.28631	0.00131037	0.13979
1590	-5108.32	-5132.13	23.8038	0.177877	0.183794	0.0210621	0.171375	0.301055	0.144836	0.319641	0.179236	0.223406	0.277717	0.00131037	0.151329
1600	-5100.03	-5123.92	23.8856	0.198939	0.210391	0.0173775	0.141395	0.296754	0.135144	0.305219	0.191982	0.202534	0.300265	0.000665163	0.14315
1610	-5095.96	-5119.63	23.6671	0.157784	0.230721	0.0190566	0.209422	0.24568	0.137336	0.305697	0.200019	0.192325	0.30196	0.00608487	0.164996
1620	-5089.23	-5113.11	23.8764	0.148902	0.217733	0.0295984	0.167611	0.290648	0.145506	0.31688	0.207336	0.187096	0.288688	0.00166494	0.144065
1630	-5098.67	-5122.36	23.6954	0.1555	0.168565	0.0313357	0.189122	0.303525	0.151953	0.309881	0.202448	0.201642	0.286029	0.00385371	0.162166
1640	-5107.66	-5131.33	23.6736	0.158011	0.205999	0.0321441	0.194001	0.241518	0.168327	0.291239	0.203383	0.190325	0.315052	0.00536292	0.164353
1650	-5096.87	-5120.68	23.8137	0.136147	0.225405	0.0269444	0.161541	0.30116	0.148801	0.312584	0.18485	0.198911	0.303655	0.00536292	0.150344
1660	-5096.11	-5120.12	24.0095	0.144393	0.20462	0.0273355	0.204674	0.289208	0.12977	0.335441	0.188273	0.192117	0.284168	0.0139586	0.130764
1670	-5089.56	-5113.47	23.9063	0.180993	0.191858	0.0256306	0.211953	0.271169	0.118397	0.302697	0.21206	0.196207	0.289036	0.0149285	0.14108
1680	-5103.68	-5127.39	23.7032	0.124907	0.233415	0.0229646	0.241627	0.208442	0.168644	0.311034	0.20797	0.190215	0.290781	0.00877144	0.161394
1690	-5102.37	-5126.14	23.768	0.203961	0.260182	0.021769	0.180759	0.228708	0.104621	0.30065	0.20329	0.20381	0.29225	0.000426811	0.154911
